Unix Timestamp,Date,Symbol,Open,High,Low,Close,Volume
1483426800,1/3/2017 7:00,BTCUSD,1023.33,1023.33,1017.29,1022.48,10.49587844
1483430400,1/3/2017 8:00,BTCUSD,1022.48,1023.02,1021.13,1021.13,45.4530857
1483434000,1/3/2017 9:00,BTCUSD,1021.13,1021.13,1014.06,1015.88,8.98335473
1483437600,1/3/2017 10:00,BTCUSD,1015.88,1019.5,1015.87,1019.5,0.09948921
1483441200,1/3/2017 11:00,BTCUSD,1019.5,1021.53,1019.5,1021.53,0.20199
1483444800,1/3/2017 12:00,BTCUSD,1021.53,1026,1021.53,1024.9,3.637524537
1483448400,1/3/2017 13:00,BTCUSD,1024.9,1024.9,1018.31,1020.47,29.79099026
1483452000,1/3/2017 14:00,BTCUSD,1020.47,1020.66,1018.69,1018.89,20.37686254
1483455600,1/3/2017 15:00,BTCUSD,1018.89,1025.04,1017.02,1018.91,99.35538371
1483459200,1/3/2017 16:00,BTCUSD,1018.91,1021.09,1018.21,1019.79,92.7632336
1483462800,1/3/2017 17:00,BTCUSD,1019.79,1024.62,1019.79,1021.97,86.80134305
1483466400,1/3/2017 18:00,BTCUSD,1021.97,1024.69,1021.97,1023,140.3403784
1483470000,1/3/2017 19:00,BTCUSD,1023,1023,1018.15,1021.09,147.1595441
1483473600,1/3/2017 20:00,BTCUSD,1021.09,1030,1020.76,1026.12,67.51707813
1483477200,1/3/2017 21:00,BTCUSD,1026.12,1032.08,1023.5,1029.68,465.4470115
1483480800,1/3/2017 22:00,BTCUSD,1029.68,1032,1025,1029.1,381.6372464
1483484400,1/3/2017 23:00,BTCUSD,1029.1,1038.26,1029.1,1035.03,234.397411
1483488000,1/4/2017 0:00,BTCUSD,1035.03,1042.49,1035.02,1041.25,66.24904344
1483491600,1/4/2017 1:00,BTCUSD,1041.25,1048.87,1040,1048.16,25.64715015
1483495200,1/4/2017 2:00,BTCUSD,1048.16,1048.16,1043.95,1044.69,99.95020816
1483498800,1/4/2017 3:00,BTCUSD,1044.69,1049.49,1044.69,1049.37,164.1033453
1483502400,1/4/2017 4:00,BTCUSD,1049.37,1053.68,1049.37,1052.58,149.321981
1483506000,1/4/2017 5:00,BTCUSD,1052.58,1060.43,1052.58,1059.77,261.502548
1483509600,1/4/2017 6:00,BTCUSD,1059.77,1060.49,1059.77,1060.01,20.45383202
1483513200,1/4/2017 7:00,BTCUSD,1060.01,1068,1059.77,1059.77,102.6080183
1483516800,1/4/2017 8:00,BTCUSD,1059.77,1062.38,1059.77,1060.69,32.11718453
1483520400,1/4/2017 9:00,BTCUSD,1060.69,1064.89,1055.14,1064.89,58.13602187
1483524000,1/4/2017 10:00,BTCUSD,1064.89,1077.99,1064.89,1077.99,23.77487803
1483527600,1/4/2017 11:00,BTCUSD,1077.99,1089.77,1077.31,1078.32,238.2390219
1483531200,1/4/2017 12:00,BTCUSD,1078.32,1094.78,1078.32,1092.82,62.75610127
1483534800,1/4/2017 13:00,BTCUSD,1092.82,1094.75,1090.31,1093.8,60.19033908
1483538400,1/4/2017 14:00,BTCUSD,1093.8,1096.95,1070,1087.27,144.3985033
1483542000,1/4/2017 15:00,BTCUSD,1087.27,1090.73,1085.53,1086.39,61.56221296
1483545600,1/4/2017 16:00,BTCUSD,1086.39,1101.59,1085.55,1101.59,137.8623683
1483549200,1/4/2017 17:00,BTCUSD,1101.59,1132.27,1099.92,1132.27,179.0331676
1483552800,1/4/2017 18:00,BTCUSD,1132.27,1139.68,1132.27,1137.99,154.6250237
1483556400,1/4/2017 19:00,BTCUSD,1137.99,1138.09,1111.62,1124.79,256.1237006
1483560000,1/4/2017 20:00,BTCUSD,1124.79,1132,1091.11,1091.11,221.0818558
1483563600,1/4/2017 21:00,BTCUSD,1091.11,1113.02,1070,1095,454.4661716
1483567200,1/4/2017 22:00,BTCUSD,1095,1150,1095,1149.99,162.5536555
1483570800,1/4/2017 23:00,BTCUSD,1149.99,1155.54,1118.7,1143.16,115.9478172
1483574400,1/5/2017 0:00,BTCUSD,1143.16,1143.18,1095.02,1095.02,159.1431473
1483578000,1/5/2017 1:00,BTCUSD,1095.02,1146.42,1095.02,1146.3,185.8298486
1483581600,1/5/2017 2:00,BTCUSD,1146.3,1149.99,1130,1140.19,130.6353756
1483585200,1/5/2017 3:00,BTCUSD,1140.19,1150,1130,1146,34.63635084
1483588800,1/5/2017 4:00,BTCUSD,1146,1167.16,1143.4,1162.54,72.07887563
1483592400,1/5/2017 5:00,BTCUSD,1162.54,1165,1150.66,1164.86,41.30694015
1483596000,1/5/2017 6:00,BTCUSD,1164.86,1164.86,1148.01,1153.99,29.67186607
1483599600,1/5/2017 7:00,BTCUSD,1153.99,1155.73,1150.2,1151.9,51.90049904
1483603200,1/5/2017 8:00,BTCUSD,1151.9,1154.01,1130,1132.13,31.75199589
1483606800,1/5/2017 9:00,BTCUSD,1132.13,1132.9,1050,1092.19,127.5241071
